epoch,trn_loss,val_loss,lr
1,0.8578094548583031,0.65959641456604,0.0003
2,0.6451103649735451,0.6029456520080566,0.0003
3,0.6031014045476913,0.5632871961593628,0.0003
4,0.5661149274110794,0.5245274156332016,0.0003
5,0.5315142586827278,0.49508696973323824,0.0003
6,0.5119027311205864,0.4791685029864311,0.0003
7,0.5000808228850364,0.4691857525706291,0.0003
8,0.4915987858176231,0.46431378692388536,0.0003
9,0.48289243307709695,0.4525507161021233,0.0003
10,0.4778778614997864,0.4486352297663689,0.0003
11,0.4707961905896664,0.444223504960537,0.0003
12,0.4673450772166252,0.4409912392497063,0.0003
13,0.462302627235651,0.4363949301838875,0.0003
14,0.4599059145450592,0.4337241530418396,0.0003
15,0.4557023166120052,0.4307114452123642,0.0003
16,0.45296581369638445,0.42801384657621383,0.0003
17,0.45037254694104195,0.42626365542411804,0.0003
18,0.44847962239384653,0.42369106233119963,0.0003
19,0.44611124992370604,0.42172336757183077,0.0003
20,0.44416793358325957,0.4208254200220108,0.0003
21,0.44215677919983865,0.4178794461488724,0.0003
22,0.44111172744631766,0.41541126906871795,0.0003
