epoch,trn_loss,val_loss,lr
1,0.18223674464598297,0.05883137736469507,0.0003
2,0.051476056845858695,0.042800699975341555,0.0003
3,0.03655580784380436,0.031605697870254516,0.0003
4,0.029301878659054637,0.023064570408314465,0.0003
5,0.02589168288744986,0.020922811552882194,0.0003
6,0.024132555773481727,0.022356682103127242,0.0003
7,0.02231885111518204,0.020405223434790967,0.0003
8,0.021577003970742227,0.018108655083924532,0.0003
9,0.02045428373385221,0.018725449228659274,0.0003
10,0.019644739261828362,0.017961474703624844,0.0003
11,0.019444617467932402,0.01825498018413782,0.0003
12,0.01888624664954841,0.017549664806574584,0.0003
13,0.018730206822045146,0.018322205394506453,0.0003
14,0.018223821192979814,0.018666342413052917,0.0003
15,0.01790744154714048,0.018459763824939728,0.00015
16,0.015364229896105825,0.01482513340190053,0.00015
17,0.015358891733922065,0.01505257879383862,0.00015
